Date Time,SPD10-DK ,TMP10-DK ,DEW PT.  ,RAIN 
2023-04-01 00:00:00,11.0,59.5,52.4,0.0
2023-04-01 01:00:00,14.7,59.9,53.3,0.0
2023-04-01 02:00:00,12.7,59.7,55.3,0.0
2023-04-01 03:00:00,12.8,60.4,56.2,0.0
2023-04-01 04:00:00,16.3,60.4,56.6,0.0
2023-04-01 05:00:00,13.6,60.6,56.4,0.0
2023-04-01 06:00:00,14.5,62.3,56.5,0.0
2023-04-01 07:00:00,17.0,63.2,56.9,0.01
2023-04-01 08:00:00,16.6,63.6,57.4,0.0
2023-04-01 09:00:00,10.5,63.3,57.9,0.01
2023-04-01 10:00:00,2.5,60.5,57.8,0.08
2023-04-01 11:00:00,6.5,60.1,55.0,0.02
2023-04-01 12:00:00,8.0,61.2,56.2,0.01
2023-04-01 13:00:00,8.2,67.3,52.2,0.0
2023-04-01 14:00:00,10.2,72.0,43.7,0.0
2023-04-01 15:00:00,17.6,72.3,50.8,0.0
2023-04-01 16:00:00,15.8,74.7,45.9,0.0
2023-04-01 17:00:00,16.1,74.0,51.2,0.0
2023-04-01 18:00:00,10.2,73.8,43.3,0.0
2023-04-01 19:00:00,17.5,64.8,42.3,0.0
2023-04-01 20:00:00,14.7,57.6,42.0,0.0
2023-04-01 21:00:00,11.1,51.9,39.8,0.0
2023-04-01 22:00:00,13.4,48.4,34.3,0.0
2023-04-01 23:00:00,8.7,47.4,30.5,0.0
2023-04-02 00:00:00,14.1,47.4,30.0,0.0
2023-04-02 01:00:00,8.5,47.3,30.5,0.0
2023-04-02 02:00:00,8.4,47.2,31.4,0.0
2023-04-02 03:00:00,8.5,46.8,31.6,0.0
2023-04-02 04:00:00,7.6,46.1,31.9,0.0
2023-04-02 05:00:00,10.6,46.3,31.1,0.0
2023-04-02 06:00:00,7.8,46.1,32.1,0.0
2023-04-02 07:00:00,12.2,44.8,31.4,0.0
2023-04-02 08:00:00,12.3,42.8,30.7,0.0
2023-04-02 09:00:00,13.4,42.1,28.6,0.0
2023-04-02 10:00:00,11.2,42.7,27.7,0.0
2023-04-02 11:00:00,10.5,44.7,27.0,0.0
2023-04-02 12:00:00,10.1,46.3,25.8,0.0
2023-04-02 13:00:00,8.3,48.6,26.0,0.0
2023-04-02 14:00:00,8.3,49.7,24.3,0.0
2023-04-02 15:00:00,8.1,50.9,24.7,0.0
2023-04-02 16:00:00,5.7,52.1,24.9,0.0
2023-04-02 17:00:00,6.7,52.8,24.8,0.0
2023-04-02 18:00:00,5.2,53.4,24.1,0.0
2023-04-02 19:00:00,2.4,53.3,25.4,0.0
2023-04-02 20:00:00,2.3,51.4,25.0,0.0
2023-04-02 21:00:00,1.3,46.7,30.9,0.0
2023-04-02 22:00:00,2.5,43.0,28.5,0.0
2023-04-02 23:00:00,1.7,41.2,29.7,0.0
2023-04-03 00:00:00,1.1,39.5,30.0,0.0
2023-04-03 01:00:00,1.0,39.6,28.0,0.0
2023-04-03 02:00:00,1.6,39.3,29.2,0.0
2023-04-03 03:00:00,2.5,40.2,27.6,0.0
2023-04-03 04:00:00,1.6,36.2,27.8,0.0
2023-04-03 05:00:00,1.2,36.3,30.0,0.0
2023-04-03 06:00:00,1.4,35.2,27.3,0.0
2023-04-03 07:00:00,1.0,35.1,28.4,0.0
2023-04-03 08:00:00,3.7,40.3,32.8,0.0
2023-04-03 09:00:00,9.7,46.5,37.2,0.0
2023-04-03 10:00:00,14.1,50.1,40.8,0.0
2023-04-03 11:00:00,11.5,53.1,42.1,0.0
2023-04-03 12:00:00,12.7,57.1,42.2,0.0
2023-04-03 13:00:00,12.2,61.6,41.9,0.0
2023-04-03 14:00:00,16.0,64.7,40.5,0.0
2023-04-03 15:00:00,15.4,67.8,41.3,0.0
2023-04-03 16:00:00,13.4,68.8,41.6,0.0
2023-04-03 17:00:00,14.9,69.6,41.4,0.0
2023-04-03 18:00:00,15.3,69.4,42.2,0.0
2023-04-03 19:00:00,10.6,68.4,44.0,0.0
2023-04-03 20:00:00,7.5,67.7,44.8,0.0
2023-04-03 21:00:00,10.5,67.1,44.9,0.0
2023-04-03 22:00:00,9.6,66.2,44.3,0.0
2023-04-03 23:00:00,8.8,64.3,44.9,0.0
2023-04-04 00:00:00,7.4,62.6,44.9,0.0
2023-04-04 01:00:00,7.6,61.5,44.6,0.0
2023-04-04 02:00:00,7.7,59.9,44.7,0.0
2023-04-04 03:00:00,4.5,58.0,45.0,0.0
2023-04-04 04:00:00,5.8,57.5,45.9,0.0
2023-04-04 05:00:00,4.0,57.0,46.5,0.0
2023-04-04 06:00:00,5.8,57.0,47.5,0.0
2023-04-04 07:00:00,3.1,54.2,47.0,0.0
2023-04-04 08:00:00,5.8,56.8,48.8,0.0
2023-04-04 09:00:00,7.0,59.1,50.0,0.0
2023-04-04 10:00:00,7.6,61.9,50.6,0.0
2023-04-04 11:00:00,5.3,65.9,50.8,0.0
2023-04-04 12:00:00,3.6,69.2,50.3,0.0
2023-04-04 13:00:00,3.7,71.8,49.7,0.0
2023-04-04 14:00:00,5.6,74.1,48.1,0.0
2023-04-04 15:00:00,6.9,75.9,46.0,0.0
2023-04-04 16:00:00,8.5,78.0,47.3,0.0
2023-04-04 17:00:00,8.6,78.9,48.1,0.0
2023-04-04 18:00:00,8.2,79.1,49.6,0.0
2023-04-04 19:00:00,5.0,79.0,50.6,0.0
2023-04-04 20:00:00,4.7,76.4,51.6,0.0
2023-04-04 21:00:00,5.0,74.9,52.0,0.0
2023-04-04 22:00:00,3.5,72.9,52.3,0.0
2023-04-04 23:00:00,5.9,71.7,52.5,0.0
2023-04-05 00:00:00,4.9,69.8,55.4,0.0
2023-04-05 01:00:00,4.2,67.5,56.9,0.0
2023-04-05 02:00:00,5.1,66.5,58.2,0.0
2023-04-05 03:00:00,2.9,63.1,56.6,0.0
2023-04-05 04:00:00,1.4,60.6,55.5,0.0
